WKT,radio,mcc,net,area,cell,unit,longitude,latitude,range,samples,changeable,created,updated,averageSig,shape_X,shape_Y
POINT (-65.9406280501444 18.2448577903548),UMTS,330,110,41002,1062582,,-65.94062805,18.24485779,1000,1,1,1458850071,1443017068,,-65.94062805,18.24485779
POINT (-65.8238980000926 18.1336209999093),UMTS,330,110,41002,1063708,,-65.823898,18.133621,1000,3,1,1458850071,1474378813,,-65.823898,18.133621
POINT (-65.7799529997311 18.206405640408),UMTS,330,110,41002,1063107,,-65.779953,18.20640564,1000,1,1,1458850071,1458251257,,-65.779953,18.20640564
POINT (-65.8177190002316 18.1343080001142),UMTS,330,110,41002,1064108,,-65.817719,18.134308,1000,2,1,1458850071,1460833591,,-65.817719,18.134308
POINT (-65.7730865500042 18.2132720901349),UMTS,330,110,41002,1063077,,-65.77308655,18.21327209,1000,1,1,1458850071,1436367217,,-65.77308655,18.21327209
POINT (-65.8431243902784 18.1555938701611),UMTS,330,110,41002,1063679,,-65.84312439,18.15559387,1000,3,1,1458850071,1489386997,,-65.84312439,18.15559387
POINT (-65.8623504603054 18.058090210295),UMTS,330,110,41002,1092808,,-65.86235046,18.05809021,1000,1,1,1458850072,1427676393,,-65.86235046,18.05809021
POINT (-65.9626007099548 17.9743194597753),UMTS,330,110,41002,1064978,,-65.96260071,17.97431946,1000,1,1,1458850072,1448598519,,-65.96260071,17.97431946
POINT (-65.8032989998489 18.1748200004427),UMTS,330,110,41002,1075018,,-65.803299,18.17482,1000,2,1,1458850072,1471700274,,-65.803299,18.17482
POINT (-65.8623504603054 18.1789398199168),UMTS,330,110,41002,1103909,,-65.86235046,18.17893982,1000,1,1,1458850072,1432477667,,-65.86235046,18.17893982
POINT (-65.9612274200094 17.9743194597753),UMTS,330,110,41002,1065008,,-65.96122742,17.97431946,1000,1,1,1458850072,1448664867,,-65.96122742,17.97431946
POINT (-65.9406280501444 18.1940460201078),UMTS,330,110,41002,1090081,,-65.94062805,18.19404602,1000,1,1,1458850072,1422905746,,-65.94062805,18.19404602
POINT (-65.9131622296532 18.1761932400261),UMTS,330,110,41002,1094178,,-65.91316223,18.17619324,1000,1,1,1458850072,1423337335,,-65.91316223,18.17619324
POINT (-65.9818267799819 18.1583404500518),UMTS,330,110,41002,1102681,,-65.98182678,18.15834045,1000,1,1,1458850072,1446404590,,-65.98182678,18.15834045
POINT (-65.9516143795999 18.2489776601909),UMTS,330,110,41002,1069618,,-65.95161438,18.24897766,1000,1,1,1458850072,1443387181,,-65.95161438,18.24897766
POINT (-65.8184051496779 18.1542205802157),UMTS,330,110,41002,1103277,,-65.81840515,18.15422058,1000,1,1,1458850072,1421945617,,-65.81840515,18.15422058
POINT (-65.7854461703045 18.1954193100532),UMTS,330,110,41002,1089777,,-65.78544617,18.19541931,1000,1,1,1458850072,1435099036,,-65.78544617,18.19541931
POINT (-65.9406280501444 18.1940460201078),UMTS,330,110,41002,1090079,,-65.94062805,18.19404602,1000,1,1,1458850072,1424769192,,-65.94062805,18.19404602
POINT (-65.9163669997372 18.2466889997975),UMTS,330,110,41002,1099480,,-65.916367,18.246689,1625,3,1,1458850072,1462886358,,-65.916367,18.246689
POINT (-65.873336789761 18.0800628701054),UMTS,330,110,41002,1066080,,-65.87333679,18.08006287,1000,1,1,1458850072,1442656872,,-65.87333679,18.08006287
POINT (-65.7593536397586 18.2160186799182),UMTS,330,110,41002,1075347,,-65.75935364,18.21601868,1000,1,1,1458850072,1435099036,,-65.75935364,18.21601868
POINT (-65.9529876704446 18.2476043702455),UMTS,330,110,41002,1069651,,-65.95298767,18.24760437,1000,1,1,1458850072,1443017068,,-65.95298767,18.24760437
POINT (-65.9584808302261 18.2489776601909),UMTS,330,110,41002,1069652,,-65.95848083,18.24897766,1000,1,1,1458850072,1443017068,,-65.95848083,18.24897766
